id;date;longitude;latitude
FRA 17;2020-11-11;-15.5473333333333;40.8775
FRA 1000;2020-11-11;-16.6828333333333;41.195
FRA 4;2020-11-11;-19.187;41.5493333333333
FRA 49;2020-11-11;-16.0531666666667;41.1046666666667
FRA 109;2020-11-11;-17.7308333333333;41.4075
FRA 18;2020-11-11;-19.1605;41.594
FRA 92;2020-11-11;-14.4461666666667;41.0348333333333
MON 10;2020-11-11;-18.5426666666667;41.8041666666667
ITA 34;2020-11-11;-17.3938333333333;41.6463333333333
FRA 30;2020-11-11;-17.6373333333333;41.6905
FRA 71;2020-11-11;-13.8475;41.2083333333333
SUI 7;2020-11-11;-16.818;41.8316666666667
33 ESP;2020-11-11;-13.8986666666667;41.5696666666667
FRA 27;2020-11-11;-14.3603333333333;41.671
JPN 11;2020-11-11;-16.0876666666667;42.2153333333333
FRA 50;2020-11-11;-15.5643333333333;42.2771666666667
FRA 14;2020-11-11;-14.5803333333333;42.091
FRA 83;2020-11-11;-12.8696666666667;41.7275
FIN 222;2020-11-11;-15.2946666666667;42.3628333333333
GBR 777;2020-11-11;-14.9848333333333;42.3891666666667
FRA 8;2020-11-11;-15.6023333333333;42.8791666666667
FRA 72;2020-11-11;-14.8595;43.0265
FRA 56;2020-11-11;-5.4565;45.0368333333333
GBR 99;2020-11-12;-22.7716666666667;37.8763333333333
FRA 01;2020-11-12;-21.604;37.8726666666667
FRA 09;2020-11-12;-21.5788333333333;38.0185
FRA 59;2020-11-12;-23.8211666666667;38.144
FRA 79;2020-11-12;-23.782;38.1458333333333
FRA 6;2020-11-12;-22.3021666666667;38.1613333333333
FRA 85;2020-11-12;-23.4875;38.3066666666667
FRA 109;2020-11-12;-22.1336666666667;38.2838333333333
FRA 53;2020-11-12;-21.3246666666667;38.4061666666667
FRA 4;2020-11-12;-21.9206666666667;38.4766666666667
FRA 49;2020-11-12;-21.1331666666667;38.445
FRA 1000;2020-11-12;-21.5196666666667;38.5841666666667
FRA 30;2020-11-12;-21.1558333333333;38.6208333333333
FRA 17;2020-11-12;-20.9771666666667;38.6865
MON 10;2020-11-12;-21.3268333333333;38.94
ITA 34;2020-11-12;-21.0048333333333;38.9611666666667
FRA 18;2020-11-12;-21.3941666666667;39.2671666666667
SUI 7;2020-11-12;-20.2558333333333;39.3386666666667
FRA 92;2020-11-12;-19.5053333333333;39.626
33 ESP;2020-11-12;-18.373;39.6028333333333
JPN 11;2020-11-12;-19.8053333333333;39.8391666666667
FRA 27;2020-11-12;-19.3013333333333;39.8016666666667
FRA 71;2020-11-12;-18.7926666666667;39.8293333333333
FRA 14;2020-11-12;-19.1466666666667;40.0161666666667
GBR 777;2020-11-12;-19.0425;40.1318333333333
FRA 50;2020-11-12;-19.0698333333333;40.1586666666667
FIN 222;2020-11-12;-18.4651666666667;40.2538333333333
FRA 83;2020-11-12;-16.1425;40.2963333333333
FRA 72;2020-11-12;-18.0771666666667;41.1445
FRA 8;2020-11-12;-11.6988333333333;44.3488333333333
FRA 56;2020-11-12;-7.63133333333333;43.8828333333333
GBR 99;2020-11-13;-25.8128333333333;32.5603333333333
FRA 01;2020-11-13;-25.3645;33.0075
FRA 6;2020-11-13;-25.1811666666667;33.3623333333333
FRA 59;2020-11-13;-26.2501666666667;33.4373333333333
FRA 85;2020-11-13;-26.1793333333333;33.496
FRA 09;2020-11-13;-25.1931666666667;33.7006666666667
FRA 79;2020-11-13;-27.0866666666667;33.659
FRA 109;2020-11-13;-25.3093333333333;33.9975
FRA 53;2020-11-13;-24.865;34.1206666666667
FRA 1000;2020-11-13;-24.9891666666667;34.253
FRA 49;2020-11-13;-24.6361666666667;34.363
FRA 17;2020-11-13;-24.3958333333333;34.3901666666667
MON 10;2020-11-13;-24.56;34.3945
FRA 18;2020-11-13;-24.227;34.5268333333333
FRA 4;2020-11-13;-24.999;35.1833333333333
FRA 30;2020-11-13;-25.2375;35.2975
ITA 34;2020-11-13;-24.3408333333333;35.3495
SUI 7;2020-11-13;-23.5805;35.5868333333333
JPN 11;2020-11-13;-22.4048333333333;36.4093333333333
FRA 92;2020-11-13;-22.5733333333333;36.4551666666667
FRA 27;2020-11-13;-21.8133333333333;36.7848333333333
FRA 14;2020-11-13;-22.007;37.2698333333333
FRA 71;2020-11-13;-21.8798333333333;37.4306666666667
33 ESP;2020-11-13;-20.4535;37.6261666666667
GBR 777;2020-11-13;-22.0121666666667;37.9161666666667
FRA 50;2020-11-13;-21.7465;38.2585
FIN 222;2020-11-13;-21.3956666666667;38.38
FRA 72;2020-11-13;-19.8373333333333;38.8443333333333
FRA 83;2020-11-13;-18.8676666666667;38.7771666666667
FRA 56;2020-11-13;-10.2183333333333;42.3411666666667
FRA 8;2020-11-13;-6.10783333333333;45.6233333333333
FRA 01;2020-11-14;-28.408;27.285
GBR 99;2020-11-14;-30.2578333333333;27.382
FRA 09;2020-11-14;-26.9031666666667;27.8611666666667
FRA 85;2020-11-14;-29.1678333333333;28.4206666666667
FRA 1000;2020-11-14;-27.9278333333333;28.5956666666667
FRA 18;2020-11-14;-26.4093333333333;28.8383333333333
FRA 59;2020-11-14;-29.5243333333333;28.5861666666667
MON 10;2020-11-14;-26.8878333333333;28.9275
FRA 17;2020-11-14;-27.5158333333333;29.129
FRA 109;2020-11-14;-28.9403333333333;29.1618333333333
FRA 6;2020-11-14;-28.6661666666667;29.3058333333333
FRA 53;2020-11-14;-26.87;29.4671666666667
FRA 49;2020-11-14;-27.3658333333333;29.4473333333333
FRA 4;2020-11-14;-26.0028333333333;29.5915
FRA 79;2020-11-14;-31.1415;29.0381666666667
SUI 7;2020-11-14;-26.6163333333333;30.5465
ITA 34;2020-11-14;-27.5158333333333;30.4951666666667
FRA 30;2020-11-14;-27.6721666666667;31.1268333333333
JPN 11;2020-11-14;-22.9261666666667;31.1888333333333
FRA 27;2020-11-14;-22.476;31.1638333333333
FRA 92;2020-11-14;-26.0191666666667;32.0213333333333
FRA 14;2020-11-14;-25.0316666666667;32.9766666666667
33 ESP;2020-11-14;-21.7338333333333;33.4573333333333
GBR 777;2020-11-14;-21.885;33.5191666666667
FRA 71;2020-11-14;-24.0093333333333;34.034
FRA 50;2020-11-14;-22.5478333333333;36.6718333333333
FIN 222;2020-11-14;-22.6803333333333;36.6886666666667
FRA 72;2020-11-14;-20.689;37.1488333333333
FRA 83;2020-11-14;-18.4598333333333;37.3061666666667
FRA 56;2020-11-14;-13.1463333333333;39.6591666666667
FRA 8;2020-11-14;-1.79083333333333;46.5018333333333
GBR 99;2020-11-15;-29.8621666666667;20.974
FRA 01;2020-11-15;-28.1563333333333;21.9606666666667
FRA 59;2020-11-15;-29.3896666666667;23.2166666666667
FRA 09;2020-11-15;-27.7821666666667;23.6788333333333
FRA 85;2020-11-15;-27.8066666666667;23.7596666666667
FRA 79;2020-11-15;-29.7936666666667;23.8413333333333
FRA 1000;2020-11-15;-27.3093333333333;24.5558333333333
FRA 18;2020-11-15;-27.4558333333333;24.5588333333333
FRA 17;2020-11-15;-28.1701666666667;24.8208333333333
FRA 6;2020-11-15;-28.7655;24.845
FRA 109;2020-11-15;-29.2646666666667;24.827
MON 10;2020-11-15;-29.0595;25.0188333333333
FRA 49;2020-11-15;-27.3906666666667;26.0643333333333
FRA 53;2020-11-15;-28.2331666666667;26.0963333333333
FRA 4;2020-11-15;-27.6145;26.433
FRA 27;2020-11-15;-24.861;26.8886666666667
ITA 34;2020-11-15;-29.1025;27.0145
SUI 7;2020-11-15;-27.9265;27.2078333333333
FRA 30;2020-11-15;-27.371;27.4638333333333
FRA 92;2020-11-15;-27.3793333333333;28.3303333333333
GBR 777;2020-11-15;-23.4785;28.6106666666667
JPN 11;2020-11-15;-22.7375;28.594
33 ESP;2020-11-15;-23.5853333333333;28.7958333333333
FRA 14;2020-11-15;-26.8685;29.1375
FRA 71;2020-11-15;-22.6326666666667;29.883
FRA 50;2020-11-15;-21.5451666666667;33.5103333333333
FIN 222;2020-11-15;-21.4306666666667;33.6171666666667
FRA 72;2020-11-15;-21.5786666666667;34.32
FRA 83;2020-11-15;-18.6786666666667;34.6963333333333
FRA 56;2020-11-15;-16.7136666666667;38.5796666666667
FRA 8;2020-11-15;-1.79083333333333;46.5018333333333
GBR 99;2020-11-16;-29.6928333333333;12.9211666666667
FRA 01;2020-11-16;-28.543;14.7203333333333
FRA 59;2020-11-16;-29.8708333333333;14.8861666666667
FRA 79;2020-11-16;-29.5111666666667;15.7535
FRA 85;2020-11-16;-28.3356666666667;16.334
FRA 09;2020-11-16;-28.7218333333333;17.0778333333333
FRA 18;2020-11-16;-29.1028333333333;17.4731666666667
FRA 109;2020-11-16;-29.7563333333333;17.5556666666667
FRA 1000;2020-11-16;-27.9633333333333;17.981
FRA 17;2020-11-16;-28.2595;17.9845
MON 10;2020-11-16;-29.537;17.844
FRA 6;2020-11-16;-28.826;19.3865
FRA 4;2020-11-16;-27.8708333333333;19.5418333333333
FRA 49;2020-11-16;-27.7273333333333;20.5233333333333
FRA 53;2020-11-16;-29.3223333333333;20.6916666666667
ITA 34;2020-11-16;-29.9328333333333;21.7728333333333
FRA 27;2020-11-16;-26.2313333333333;23.0936666666667
FRA 30;2020-11-16;-28.1011666666667;23.1853333333333
SUI 7;2020-11-16;-28.7148333333333;23.485
FRA 92;2020-11-16;-27.518;25.2596666666667
GBR 777;2020-11-16;-23.7208333333333;26.7656666666667
33 ESP;2020-11-16;-24.0061666666667;27.035
FRA 14;2020-11-16;-26.7801666666667;27.246
FRA 71;2020-11-16;-23.5038333333333;27.5563333333333
JPN 11;2020-11-16;-22.3088333333333;27.695
FRA 50;2020-11-16;-21.8876666666667;30.1418333333333
FIN 222;2020-11-16;-21.5136666666667;30.2173333333333
FRA 72;2020-11-16;-21.2933333333333;30.5713333333333
FRA 83;2020-11-16;-20.5338333333333;31.5785
FRA 56;2020-11-16;-18.5741666666667;34.9786666666667
FRA 8;2020-11-16;-1.79083333333333;46.5018333333333
GBR 99;2020-11-17;-28.9066666666667;5.686
FRA 59;2020-11-17;-28.9145;7.18683333333333
FRA 01;2020-11-17;-28.079;7.892
FRA 79;2020-11-17;-28.6021666666667;8.03466666666667
FRA 85;2020-11-17;-28.6948333333333;9.62733333333333
FRA 18;2020-11-17;-28.8881666666667;10.2861666666667
MON 10;2020-11-17;-28.7026666666667;10.7106666666667
FRA 09;2020-11-17;-28.8501666666667;10.7946666666667
FRA 109;2020-11-17;-29.313;10.732
FRA 17;2020-11-17;-27.9276666666667;11.457
FRA 1000;2020-11-17;-28.2533333333333;11.5871666666667
FRA 4;2020-11-17;-28.1176666666667;12.5671666666667
FRA 49;2020-11-17;-27.9286666666667;14.1425
FRA 53;2020-11-17;-29.3345;14.0421666666667
ITA 34;2020-11-17;-30.0888333333333;14.495
FRA 27;2020-11-17;-27.558;16.4341666666667
SUI 7;2020-11-17;-28.5221666666667;16.7111666666667
FRA 30;2020-11-17;-29.2265;16.6575
FRA 92;2020-11-17;-27.7165;19.3943333333333
33 ESP;2020-11-17;-24.9675;23.4668333333333
GBR 777;2020-11-17;-25.7973333333333;23.9525
FRA 71;2020-11-17;-24.197;24.8278333333333
