time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-28T09:59:10.856Z,26.8596,143.5593,10,4.5,mb,,124,1.249,0.81,us,us60008a5g,2020-05-19T22:14:29.040Z,"135km E of Chichi-shima, Japan",earthquake,10,1.9,0.1,29,reviewed,us,us
2020-02-28T09:38:06.389Z,10.2377,125.0047,10,4.5,mb,,96,3.198,0.93,us,us60008a5b,2020-05-19T22:14:29.040Z,"2km ESE of Tomas Oppus, Philippines",earthquake,11.1,1.9,0.106,26,reviewed,us,us
2020-02-28T07:41:50.508Z,-18.9008,-172.9039,10,5.7,mww,,47,2.822,0.96,us,us600085x5,2020-05-19T22:14:05.040Z,"117km ESE of Neiafu, Tonga",earthquake,9.6,1.9,0.069,20,reviewed,us,us
2020-02-28T05:50:18.394Z,35.2945,71.8197,58.81,4.5,mb,,84,2.03,0.92,us,us600085v8,2020-05-19T22:14:05.040Z,"11km NNW of Dir, Pakistan",earthquake,6.2,6.4,0.088,38,reviewed,us,us
2020-02-28T05:10:07.545Z,26.8062,130.0648,10,4.7,mb,,98,1.43,0.6,us,us600085v5,2020-05-19T22:14:05.040Z,"182km SSE of Naze, Japan",earthquake,3.5,1.8,0.086,41,reviewed,us,us
2020-02-28T00:37:32.195Z,-6.92,126.8752,445.18,4.5,mb,,73,3.82,1.13,us,us60008a55,2020-05-19T22:14:29.040Z,"231km NE of Dili, East Timor",earthquake,7.5,12.4,0.171,10,reviewed,us,us
2020-02-27T23:56:20.536Z,28.2322,103.6297,10,4.6,mb,,71,5.513,0.75,us,us600085pz,2020-05-19T22:14:03.040Z,"5km NE of Xiluodu, China",earthquake,8.5,1.9,0.057,91,reviewed,us,us
2020-02-27T22:20:36.921Z,-54.4859,-118.9469,10,5.4,mww,,40,27.646,0.94,us,us600085my,2020-05-19T22:14:03.040Z,"Southern East Pacific Rise",earthquake,12.6,1.7,0.078,16,reviewed,us,us
2020-02-27T21:41:30.728Z,-36.4526,-100.3147,10,4.7,mb,,196,12.075,0.86,us,us600089kh,2020-05-19T22:14:29.040Z,"Southeast of Easter Island",earthquake,15.8,2,0.08,47,reviewed,us,us
2020-02-27T21:28:07.612Z,-10.4912,116.4622,10,4.9,mb,,99,3.037,0.72,us,us600089kg,2020-05-19T22:14:29.040Z,"178km S of Kute, Indonesia",earthquake,7.1,1.8,0.069,65,reviewed,us,us
2020-02-27T19:20:59.579Z,1.8642,126.447,61.95,5,mb,,54,1.422,0.91,us,us600085gn,2020-05-19T22:14:02.040Z,"148km ENE of Bitung, Indonesia",earthquake,6.6,4.6,0.047,144,reviewed,us,us
2020-02-27T19:13:02.974Z,3.7953,125.7576,122,5.5,mww,,32,3.257,1.32,us,us600085g3,2020-05-19T22:14:02.040Z,"180km S of Sarangani, Philippines",earthquake,7.4,1.8,0.058,29,reviewed,us,us
2020-02-27T17:32:05.912Z,-29.2543,-176.1317,10,4.9,mb,,99,1.57,1.08,us,us600089k8,2020-05-19T22:14:28.040Z,"171km E of Raoul Island, New Zealand",earthquake,12.3,1.9,0.15,15,reviewed,us,us
2020-02-27T15:18:18.668Z,-13.794,-14.6731,10,5.3,mww,,35,5.833,0.83,us,us6000859r,2020-05-19T22:14:02.040Z,"Southern Mid-Atlantic Ridge",earthquake,10.4,1.8,0.068,21,reviewed,us,us
2020-02-27T15:10:27.635Z,-13.0278,-15.1094,10,4.7,mb,,116,21.711,0.77,us,us600089k5,2020-05-19T22:14:28.040Z,"Southern Mid-Atlantic Ridge",earthquake,10,1.9,0.123,21,reviewed,us,us
2020-02-27T14:36:14.358Z,35.3453,27.9438,10,4.8,mb,,41,0.67,0.77,us,us60008594,2020-05-19T22:14:02.040Z,"68km ESE of Karpathos, Greece",earthquake,2.9,1.8,0.044,163,reviewed,us,us
2020-02-27T13:28:47.918Z,-8.6486,118.2662,142.55,4.6,mb,,87,3.9,1.23,us,us6000858g,2020-05-19T22:14:01.040Z,"10km SSW of Npongge, Indonesia",earthquake,4.5,8.5,0.109,25,reviewed,us,us
2020-02-27T13:00:39.080Z,-20.3885,67.667,10,4.7,mb,,143,4.087,1.08,us,us600089k2,2020-05-19T22:14:28.040Z,"Mid-Indian Ridge",earthquake,14,1.9,0.224,6,reviewed,us,us
2020-02-27T12:43:57.614Z,-25.255,179.9252,478.56,4.7,mb,,49,4.409,1.14,us,us60008582,2020-05-19T22:14:01.040Z,"South of the Fiji Islands",earthquake,10.1,6.1,0.041,184,reviewed,us,us
2020-02-27T12:20:19.197Z,35.2908,27.9291,10,4.5,mb,,51,0.677,1.09,us,us6000857v,2020-05-19T22:14:01.040Z,"69km ESE of Karpathos, Greece",earthquake,5,1.5,0.072,57,reviewed,us,us
2020-02-27T10:17:36.821Z,39.9214,51.3825,41.84,4.6,mb,,94,5.103,0.67,us,us6000856p,2020-05-19T22:14:00.040Z,"105km ESE of Zyrya, Azerbaijan",earthquake,5.6,5.5,0.061,82,reviewed,us,us
2020-02-27T09:14:04.928Z,-23.9859,-179.6553,507.71,4.5,mb,,127,6.568,0.86,us,us600089k0,2020-05-19T22:14:28.040Z,"South of the Fiji Islands",earthquake,14.7,9.4,0.106,26,reviewed,us,us
2020-02-27T04:27:26.134Z,-12.379,-14.6662,10,4.5,mb,,68,4.428,0.51,us,us600089jr,2020-05-19T22:14:28.040Z,"Southern Mid-Atlantic Ridge",earthquake,12.7,1.9,0.156,12,reviewed,us,us
2020-02-27T04:26:12.327Z,-30.1988,-177.6869,35,4.9,mb,,106,0.973,0.83,us,us600089js,2020-05-19T22:14:28.040Z,"105km S of Raoul Island, New Zealand",earthquake,10.9,2,0.136,17,reviewed,us,us
2020-02-27T04:13:34.846Z,-45.1466,95.4789,10,5,mb,,66,20.772,0.61,us,us600089jq,2020-05-19T22:14:28.040Z,"Southeast Indian Ridge",earthquake,14.2,1.8,0.137,17,reviewed,us,us
2020-02-27T04:11:10.694Z,-12.283,-14.7983,10,5.1,mww,,47,3.306,0.73,us,us60008535,2020-05-19T22:13:59.040Z,"Southern Mid-Atlantic Ridge",earthquake,9.8,1.8,0.078,16,reviewed,us,us
2020-02-27T03:52:12.141Z,-23.9832,-66.9384,209.08,4.5,mb,,72,1.533,0.93,us,us6000852t,2020-05-19T22:13:59.040Z,"68km WNW of San Antonio de los Cobres, Argentina",earthquake,8,8.2,0.204,7,reviewed,us,us
2020-02-27T02:46:39.264Z,-55.7053,-28.2441,52.66,4.6,mb,,69,4.956,0.55,us,us600089kk,2020-05-19T22:14:29.040Z,"128km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,13,9,0.119,21,reviewed,us,us
2020-02-27T02:36:19.451Z,0.5518,121.8316,91.02,4.7,mb,,100,1.187,0.64,us,us6000852b,2020-05-19T22:13:59.040Z,"28km E of Lemito, Indonesia",earthquake,7.8,5.9,0.085,42,reviewed,us,us
2020-02-27T02:34:18.377Z,-7.3746,128.8225,126.84,4.5,mb,,124,5.088,0.9,us,us600089jn,2020-05-19T22:14:28.040Z,"282km WNW of Saumlaki, Indonesia",earthquake,13.8,10.7,0.243,5,reviewed,us,us
2020-02-27T02:23:02.907Z,-30.086,-177.7789,40.15,4.5,mb,,125,0.848,0.61,us,us600089jm,2020-05-19T22:14:28.040Z,"91km S of Raoul Island, New Zealand",earthquake,11.8,6.5,0.171,16,reviewed,us,us
2020-02-27T02:08:46.182Z,38.2294,38.685,10,4.6,mb,,76,0.904,0.95,us,us60008522,2020-05-19T22:13:59.040Z,"21km SSW of Kale, Turkey",earthquake,4.5,1.9,0.086,40,reviewed,us,us
2020-02-27T02:04:19.225Z,-20.2006,-173.8237,10,4.9,mb,,160,6.554,0.92,us,us600089jl,2020-05-19T22:14:27.040Z,"70km SE of Pangai, Tonga",earthquake,9.1,1.9,0.178,11,reviewed,us,us
2020-02-27T01:37:00.810Z,-29.529,-71.1547,75.13,4.8,mwr,,58,0.395,0.75,us,us6000851q,2020-05-19T22:13:59.040Z,"43km NNE of La Serena, Chile",earthquake,2.7,3.8,0.042,55,reviewed,us,us
2020-02-27T01:25:29.002Z,-23.6835,-64.6288,31.06,4.9,mww,,31,3.343,0.66,us,us600089ji,2020-05-19T22:14:27.040Z,"7km NNW of Caimancito, Argentina",earthquake,5.3,4.9,0.089,12,reviewed,us,us
2020-02-27T01:03:20.696Z,6.8678,124.9651,10.57,4.6,mb,,76,0.641,0.58,us,us60008511,2020-05-19T22:13:59.040Z,"6km E of Bagontapay, Philippines",earthquake,6.7,5.5,0.098,31,reviewed,us,us
2020-02-26T22:31:31.620Z,-21.9302,68.727,10,4.6,mb,,87,5.457,0.45,us,us600089ie,2020-05-19T22:14:27.040Z,"Mid-Indian Ridge",earthquake,14.5,1.9,0.136,16,reviewed,us,us
